ENSEMBLE,COMPOSER,WORK
St. Louis,"Chausson, Ernest",Poem of Love and the Sea
Tucson,"Chausson, Ernest",Poéme
San Francisco,"Chavez, Carlos","Symphony No. 2 ""Sinfonia India"""
San Diego,Chen Yi,Ge Xu (Antiphony)
Seattle,"Chen, Qigang",itinéraire d'une Illusion
Chicago,"Cherubini, Luigi",Mass for the Coronation of Charles X
Wisconsin Chamber,"Cherubini, Luigi",Symphony in D
Grant Park,"Childs, Billy",Violin Concerto No. 2
Ann Arbor,"Chin, Unsuk",Frontispiece
Atlanta,"Chin, Unsuk",snagS&Snarls
Cleveland,"Chin, Unsuk","Puzzles and Games, from Alice in Wonderland"
Dallas,"Chin, Unsuk",Frontispiece
Los Angeles,"Chin, Unsuk",Clarinet Concerto
Philadelphia,"Chin, Unsuk",Frontispiece
San Francisco,"Chin, Unsuk",Frontispiece
Seattle,"Chin, Unsuk",Śu for Sheng and Orchestra
Atlanta,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
Baltimore,"Chopin, Frédéric",Concerto No. 1 for Piano and Orchestra
Canton,"Chopin, Frédéric",Andante Spianato & Grand Polonaise
Chicago,"Chopin, Frédéric",Concerto No. 1 for Piano and Orchestra
Greensboro,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
Houston,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
Indianapolis,"Chopin, Frédéric",Concerto No. 1 for Piano and Orchestra
Indianapolis,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
Knoxville,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
Naples,"Chopin, Frédéric",Concerto No. 1 for Piano and Orchestra
Nashville,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
New Jersey,"Chopin, Frédéric",Concerto No. 1 for Piano and Orchestra
Philadelphia,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
San Antonio,"Chopin, Frédéric",Concerto No. 1 for Piano and Orchestra
Wichita,"Chopin, Frédéric",Concerto No. 2 for Piano and Orchestra
Grant Park,"Chopin, Frédéric (arr. Douglas, Roy)",Les Sylphides
Chicago,"Cilea, Francesco",Io son l'umile Ancella (from Adriana Lecouvreur)
Chicago,"Cimarosa, Domenico",Overture to Il Matrimonio Segreto
Canton,"Clarke, Jeremiah",Trumpet Voluntary in D
South Bend,"Clinton, George. S.",The Rose of Sonora
Atlanta,"Clyne, Anna",New work
Des Moines,"Clyne, Anna",Masquerade
Elgin,"Clyne, Anna",Masquerade
Houston,"Clyne, Anna",Within Her Arms
Knoxville,"Clyne, Anna",Within Her Arms
Memphis,"Clyne, Anna",Masquerade
Minnesota,"Clyne, Anna","Auguries, from Abstractions"
Minnesota,"Clyne, Anna",Within Her Arms
Omaha,"Clyne, Anna",Masquerade
Oregon,"Clyne, Anna",This Midnight Hour
Orlando,"Clyne, Anna",Abstractions
Orlando,"Clyne, Anna",New work (world premiere)
Orlando,"Clyne, Anna",Restless Oceans
Richmond,"Clyne, Anna",Abstractions
River Oaks,"Clyne, Anna",New work
San Antonio,"Clyne, Anna",Within Her Arms
San Diego,"Clyne, Anna",Abstractions
Wichita,"Clyne, Anna",This Midnight Hour
Winston-Salem,"Clyne, Anna",Masquerade
Knoxville,"Cole, T. J.",Death of the Poet
St. Paul Chamber,"Cole, T. J.",Death of the Poet
Atlanta,"Coleman, Valerie",Umoja
Orpheus,"Coleman, Valerie",Phenomenal Women
San Francisco,"Coleman, Valerie",Umoja
St. Paul Chamber,"Coleman, Valerie",Red Clay & Mississipi Delta
Minnesota,"Coleridge-Taylor, Samuel",African Suite: Danse négre
Greensboro,"Coleridge-Taylor, Samuel (arr. Dworkin, Aaron)",The American Rhapsody
New Jersey,"Coleridge-Taylor, Samuel (arr. Dworkin, Aaron)",The American Rhapsody
San Francisco,"Coll, Francisco",Four Iberian Miniatures
Cleveland,"Connesson, Guillaume",Flammenschrift
Indianapolis,"Connesson, Guillaume",New Work   
Philadelphia,"Connesson, Guillaume",Cello Concerto
Reading,"Copeland, Stewart",Gamelan D'drum
Ann Arbor,"Copland, Aaron",Clarinet Concerto
Atlanta,"Copland, Aaron",Fanfare for the Common Man
Atlanta,"Copland, Aaron",Symphony No. 3
Augusta,"Copland, Aaron",El Salón Mexico
Austin,"Copland, Aaron",Appalachian Spring
Chicago,"Copland, Aaron",Appalachian Spring
Chicago,"Copland, Aaron",Clarinet Concerto
Colorado Springs,"Copland, Aaron",Appalachian Spring
Dallas,"Copland, Aaron",Symphony No. 3
Detroit,"Copland, Aaron",Appalachian Spring
Fort Worth,"Copland, Aaron",Clarinet Concerto
Harrisburg,"Copland, Aaron",Lincoln Portrait
Hartford,"Copland, Aaron",Lincoln Portrait
Houston,"Copland, Aaron",Symphony No. 3
Indianapolis,"Copland, Aaron",Lincoln Portrait
Knoxville,"Copland, Aaron",Appalachian Spring
Louisiana,"Copland, Aaron",Clarinet Concerto
Louisiana,"Copland, Aaron",El Salón Mexico
Louisiana,"Copland, Aaron",Music for the Theater
Louisville,"Copland, Aaron",Appalachian Spring
Memphis,"Copland, Aaron",Appalachian Spring
North Carolina,"Copland, Aaron",Appalachian Spring
Omaha,"Copland, Aaron",Symphony No. 3
Oregon,"Copland, Aaron",Music for the Theater
Orlando,"Copland, Aaron",Fanfare for the Common Man
Quad City,"Copland, Aaron",Buckaroo Holiday from Rodeo
Rochester,"Copland, Aaron",Appalachian Spring
Santa Barbara,"Copland, Aaron",Rodeo
Santa Rosa,"Copland, Aaron",Appalachian Spring
Silicon Valley,"Copland, Aaron",Appalachian Spring
South Dakota,"Copland, Aaron",Quiet City
St. Louis,"Copland, Aaron",Appalachian Spring
St. Paul Chamber,"Copland, Aaron",Appalachian Spring
Stamford,"Copland, Aaron",Appalachian Spring
Tacoma,"Copland, Aaron",Fanfare for the Common Man
Toledo,"Copland, Aaron",Appalachian Spring
Tulsa,"Copland, Aaron",Appalachian Spring
Tulsa,"Copland, Aaron",Suite from Billy the Kid
Wichita,"Copland, Aaron",Clarinet Concerto
Wichita,"Copland, Aaron",Fanfare for the Common Man
Wichita,"Copland, Aaron",Symphony No. 3
Buffalo,"Cordero, Ernesto",Marianda
New York,"Corea, Chick",Trombone Concerto
Cleveland,"Corigliano, John",Conjurer
Colorado Springs,"Corigliano, John",Phantasmorgia
San Francisco,"Corigliano, John",Saxophone Concerto
St. Paul Chamber,"Crawford Seeger, Ruth",Music for Small Orchestra
Albany,"Cuong, Viet",Concerto for Orchestra (world premiere)
California,"Cuong, Viet",New Work (world premiere)
Milwaukee,"Currier, Sebastian",Aether for Violin and Orchestra
Portland,"Cziner, Jonathan",Resonant Bells
River Oaks,"Dallapiccola, Luigi",Tartiniana Seconda
Tucson,"Dallapiccola, Luigi",A Little Night Music (Piccola musica notturna)
Tacoma,"Danielpour, Richard",From the Mountaintop
Florida,"Daugherty, Michael",Metropolis Symphony
Minnesota,"Daugherty, Michael",Tales of Hemingway
National,"Daugherty, Michael",The Mystery of Flight
Omaha,"Daugherty, Michael",Lift Up Thine Ears (world premiere)
Pacific,"Daugherty, Michael",Route 66
Pittsburgh,"Daugherty, Michael",Fifteen (world premiere)
Santa Rosa,"Daugherty, Michael",Tales of Hemingway
Wichita,"Daugherty, Michael",Blue Electra
Pasadena,"Davids, Brent Michael",Iroquois Creation Song
Grant Park,"Davies, Peter Maxwell","An Orkney Wedding, with Sunrise"
Oklahoma City,"Davies, Peter Maxwell",An Orkney Wedding at Sunrise
Tucson,"Davies, Peter Maxwell",An Orkney Wedding at Sunrise
Alabama,"Dawson, William Levi",Negro Folk Symphony
Atlanta,"Dawson, William Levi",Negro Folk Symphony
Toledo,"Dawson, William Levi",Negro Folk Symphony
Baltimore,"Dean, Brett",Cello Concerto
Boston,"Dean, Brett",Cello Concerto
San Diego,"Dean, Brett",Piano Concerto
Alabama,"Debussy, Claude",Nocturnes
Albany,"Debussy, Claude",La Mer
Atlanta,"Debussy, Claude",La Mer
Augusta,"Debussy, Claude",La Mer
Baltimore,"Debussy, Claude",Images: Ibéria
Baltimore,"Debussy, Claude",Prelude to the Afternoon of a Faun
Buffalo,"Debussy, Claude",La Cathédrale Engloutie
Chattanooga,"Debussy, Claude",Clair de lune
Chattanooga,"Debussy, Claude",Prelude from Suite Bergamasque
Chicago,"Debussy, Claude",Prelude to the Afternoon of a Faun
Cincinnati,"Debussy, Claude",La Mer
Columbus,"Debussy, Claude",Prelude to the Afternoon of a Faun
Detroit,"Debussy, Claude",Prelude to the Afternoon of a Faun
Florida,"Debussy, Claude",La Mer
Grand Rapids,"Debussy, Claude",Nocturnes
Houston,"Debussy, Claude",La Mer
Louisiana,"Debussy, Claude",Images: Ibéria
Louisville,"Debussy, Claude",Bruyeres
Louisville,"Debussy, Claude",Ce qu'a vu le vent d'Ouest
Louisville,"Debussy, Claude",La Cathédrale Engloutie
Louisville,"Debussy, Claude",Les collines d'Anacapri
Milwaukee,"Debussy, Claude",Prelude to the Afternoon of a Faun
Minnesota,"Debussy, Claude",La Mer
Minnesota,"Debussy, Claude",Printemps
Minnesota,"Debussy, Claude",Suite from Pelleas et Melisande
Naples,"Debussy, Claude",Images: Ibéria
National,"Debussy, Claude",Images
New York,"Debussy, Claude",Images: Ibéria
North Carolina,"Debussy, Claude",Images: Ibéria
Oregon,"Debussy, Claude",Jeux
Orlando,"Debussy, Claude",La Mer
Orpheus,"Debussy, Claude",Rhapsody for Alto Saxophone
Pacific,"Debussy, Claude",Prelude to the Afternoon of a Faun
Philadelphia,"Debussy, Claude",La Mer
Phoenix,"Debussy, Claude",Prelude to the Afternoon of a Faun
Reading,"Debussy, Claude",La Mer
River Oaks,"Debussy, Claude",Clair de lune
River Oaks,"Debussy, Claude",La Mer
San Diego,"Debussy, Claude",Images
San Francisco,"Debussy, Claude",Images: Ibéria
San Francisco,"Debussy, Claude",La Mer
San Francisco,"Debussy, Claude",La Mer
San Francisco,"Debussy, Claude",Prelude to the Afternoon of a Faun
Seattle,"Debussy, Claude",La Mer
Seattle,"Debussy, Claude",Prelude to the Afternoon of a Faun
South Dakota,"Debussy, Claude",Prelude to the Afternoon of a Faun
Spokane,"Debussy, Claude",La Mer
St. Louis,"Debussy, Claude",Prelude to the Afternoon of a Faun
Tucson,"Debussy, Claude",Clair de lune
Tulsa,"Debussy, Claude",La Mer
Oregon,"Debussy, Claude (orch. Abrahamsen, Hans)",Children's Corner
Tucson,"Debussy, Claude (orch. Matthews, Colin)",Symphony in B Minor
Minnesota,"Delius, Frederick",Idylle de Printemps
Knoxville,"DeMars, James",SABAR: Concerto for African Drums
Indianapolis,"Dennehy, Donnacha",New Work   
Oregon,"Dennehy, Donnacha",Violin Concerto (world premiere)
Dallas,"Dessner, Bryce",Trombone Concerto
Los Angeles,"Dessner, Bryce",Concerto for Two Pianos
San Francisco,"Dessner, Bryce",Violin Concerto    
Cleveland,"Deutsch, Bernd Richard",Intensity (world premiere)
Cleveland,"Deutsch, Bernd Richard",New Work (US premiere)
Harrisburg,"Diamond, David",Music from Shakespeare's Romeo and Juliet
Rochester,"Diehl, Aaron",The Dozens (world premiere)
Evansville,"Dooley, Paul",New Work (World premiere)
Evansville,"Dooley, Paul",Northern Nights
Alabama,"Dorman, Avner",Astrolatry
Chattanooga,"Dorman, Avner",After Brahms
Nashville,"Dorman, Avner",Double Concerto
Tacoma,"Dove, Jonathan",Airport Scenes
Tacoma,"Dove, Jonathan",Sunshine
Winston-Salem,"Dove, Jonathan",Run to the Edge
Pittsburgh,"Dukas, Paul","Fanfare to precede La Péri, Poème Dansé"
St. Louis,"Dukas, Paul",The Sorcerer's Apprentice
Chattanooga,"Duruflé, Maurice",Requiem
Milwaukee,"Duruflé, Maurice",Requiem
Houston,"Dutilleux, Henri",Sur Le Méme Accord
Los Angeles,"Dutilleux, Henri",Métaboles
Minnesota,"Dutilleux, Henri",The Tree of Dreams
New York,"Dutilleux, Henri",Métaboles
Alabama,"Dvořák, Antonín",Cello Concerto
Alabama,"Dvořák, Antonín",Symphony No. 9
Allentown,"Dvořák, Antonín",Cello Concerto
Arkansas,"Dvořák, Antonín",Symphony No. 9
Atlanta,"Dvořák, Antonín",Slavonic Dance No. 1
Atlanta,"Dvořák, Antonín",Slavonic Dance No. 2
Atlanta,"Dvořák, Antonín",Slavonic Dance No. 8
Atlanta,"Dvořák, Antonín",Symphony No. 9
Austin,"Dvořák, Antonín",Symphony No. 3
Baltimore,"Dvořák, Antonín",Symphony No. 8
Boston,"Dvořák, Antonín",Symphony No. 7
Buffalo,"Dvořák, Antonín","Suite op. 98, ""American"""
Buffalo,"Dvořák, Antonín",Symphony No. 9
California,"Dvořák, Antonín",Serenade in D minor for winds
Cape,"Dvořák, Antonín",Symphony No. 9
Chattanooga,"Dvořák, Antonín",Symphony No. 9
Chicago,"Dvořák, Antonín",Symphony No. 9
Cincinnati,"Dvořák, Antonín",Symphony No. 7
Cleveland,"Dvořák, Antonín",Heldenlied
Cleveland,"Dvořák, Antonín",Symphony No. 7
Colorado,"Dvořák, Antonín",Symphony No. 8
Dallas,"Dvořák, Antonín",Piano Concerto
Detroit,"Dvořák, Antonín",Cello Concerto
Detroit,"Dvořák, Antonín",Symphony No. 7
Evansville,"Dvořák, Antonín",Carnival Overture
Grand Rapids,"Dvořák, Antonín",Symphony No. 7
Grant Park,"Dvořák, Antonín",Symphony No. 8
Greensboro,"Dvořák, Antonín",Symphony No. 9
Hartford,"Dvořák, Antonín",Symphony No. 9
Houston,"Dvořák, Antonín",Symphony No. 8
Houston,"Dvořák, Antonín",Violin Concerto
Indianapolis,"Dvořák, Antonín",Cello Concerto
Indianapolis,"Dvořák, Antonín",Symphony No. 8
Madison,"Dvořák, Antonín",Cello Concerto
Milwaukee,"Dvořák, Antonín",Carnival Overture
Milwaukee,"Dvořák, Antonín",Violin Concerto
Minnesota,"Dvořák, Antonín",Carnival Overture
Minnesota,"Dvořák, Antonín",Cello Concerto
Minnesota,"Dvořák, Antonín",Piano Concerto
Minnesota,"Dvořák, Antonín",Serenade for Strings
Minnesota,"Dvořák, Antonín",Serenade in D minor for winds
Minnesota,"Dvořák, Antonín",Symphony No. 7
Minnesota,"Dvořák, Antonín",Symphony No. 8
Minnesota,"Dvořák, Antonín",Symphony No. 9
Minnesota,"Dvořák, Antonín",Violin Concerto
Naples,"Dvořák, Antonín",Othello Overture
Nashville,"Dvořák, Antonín",Czech Suite op. 39 (full or excerpts)
Nashville,"Dvořák, Antonín",Symphony No. 8
National,"Dvořák, Antonín",Noonday Witch op. 108
National,"Dvořák, Antonín",Symphony No. 7
New York,"Dvořák, Antonín",Carnival Overture
New York,"Dvořák, Antonín",Symphony No. 7
New York,"Dvořák, Antonín",Violin Concerto
North Carolina,"Dvořák, Antonín",Symphony No. 7
Omaha,"Dvořák, Antonín",Symphony No. 8
Oregon,"Dvořák, Antonín",Piano Concerto
Oregon,"Dvořák, Antonín",Symphony No. 9
Orlando,"Dvořák, Antonín",Symphony No. 7
Orpheus,"Dvořák, Antonín",Notturno op. 40
Pasadena,"Dvořák, Antonín",Symphony No. 9
Philadelphia,"Dvořák, Antonín",Symphony No. 7
Philadelphia,"Dvořák, Antonín",Symphony No. 8
Pittsburgh,"Dvořák, Antonín",Noonday Witch op. 108
Pittsburgh,"Dvořák, Antonín",Symphony No. 7
Plano,"Dvořák, Antonín",Symphony No. 9
Portland,"Dvořák, Antonín",Piano Concerto
Reading,"Dvořák, Antonín",Symphony No. 7
Reading,"Dvořák, Antonín",Violin Concerto
Rockford,"Dvořák, Antonín",Symphony No. 9
San Antonio,"Dvořák, Antonín",Symphony No. 7
San Diego,"Dvořák, Antonín",Serenade for Strings
Sarasota,"Dvořák, Antonín",Symphony No. 9
Seattle,"Dvořák, Antonín",Serenade for Strings
Seattle,"Dvořák, Antonín",Symphony No. 6
Seattle,"Dvořák, Antonín",Symphony No. 9
South Dakota,"Dvořák, Antonín",Czech Suite op. 39 (full or excerpts)
Spokane,"Dvořák, Antonín",Symphony No. 8
St. Louis,"Dvořák, Antonín",Symphony No. 8
Stamford,"Dvořák, Antonín",Cello Concerto
Toledo,"Dvořák, Antonín",Symphony No. 7
Virginia,"Dvořák, Antonín",Symphony No. 9
Wisconsin Chamber,"Dvořák, Antonín",Serenade in D minor for winds
York,"Dvořák, Antonín",Symphony No. 9
Alabama,"Elgar, Edward",In The South
Baltimore,"Elgar, Edward",Enigma Variations
Boston,"Elgar, Edward",Enigma Variations
Chicago,"Elgar, Edward",Cello Concerto
Chicago,"Elgar, Edward",Sea Pictures
Colorado,"Elgar, Edward",Cello Concerto
Grant Park,"Elgar, Edward",Violin Concerto
Kansas City,"Elgar, Edward",Symphony No. 1
Louisiana,"Elgar, Edward",Enigma Variations
Louisiana,"Elgar, Edward",Serenade in E minor for strings
Memphis,"Elgar, Edward",Cello Concerto
Midland-Odessa,"Elgar, Edward",Cello Concerto
Milwaukee,"Elgar, Edward",Enigma Variations
Naples,"Elgar, Edward",Cello Concerto
National,"Elgar, Edward",Cello Concerto
National,"Elgar, Edward",Symphony No. 2
Oklahoma City,"Elgar, Edward",Cello Concerto
Omaha,"Elgar, Edward",Enigma Variations
Orpheus,"Elgar, Edward",Serenade in E minor for strings
Pittsburgh,"Elgar, Edward",Symphony No. 2
Quad City,"Elgar, Edward",In The South
Reading,"Elgar, Edward",Falstaff
Rockford,"Elgar, Edward",Enigma Variations
San Diego,"Elgar, Edward",Cello Concerto
San Diego,"Elgar, Edward",Symphony No. 1
San Francisco,"Elgar, Edward",Cello Concerto
Seattle,"Elgar, Edward",Cello Concerto
Tacoma,"Elgar, Edward",Serenade in E minor for strings
Utah,"Elgar, Edward",In The South
Winston-Salem,"Elgar, Edward",Cello Concerto
Winston-Salem,"Elgar, Edward",Violin Concerto
Augusta,"Ellington, Duke",The River
Baltimore,"Ellington, Duke",Night Creature
Baltimore,"Ellington, Duke",Sophisticated Lady
Boston,"Ellington, Duke",Come Sunday
Boston,"Ellington, Duke",Three Black Kings
Greensboro,"Ellington, Duke",The River
Knoxville,"Ellington, Duke",Three Black Kings
New Jersey,"Ellington, Duke",Harlem
Philadelphia,"Ellington, Duke",Solitude
Richmond,"Ellington, Duke","Black, Brown, and Beige"
Silicon Valley,"Ellington, Duke","Black, Brown, and Beige"
St. Paul Chamber,"Ellington, Duke",Solitude
Toledo,"Ellington, Duke","Black, Brown, and Beige"
Virginia,"Ellington, Duke",Harlem
York,"Ellington, Duke","Black, Brown, and Beige"
Buffalo,"Enescu, George",Romanian Rhapsody No. 1
Louisiana,"Enescu, George",Romanian Rhapsody No. 1
Oregon,"Enescu, George",Romanian Rhapsody No. 1
California,"Eötvös, Melody",Saqqara Bird
Philadelphia,"Eötvös, Melody",When it hits the ocean below (world premiere)
Grand Rapids,"Esmail, Reena",Sitar Concerto
River Oaks,"Esmail, Reena",The History of Red
Seattle,"Esmail, Reena",New work
Seattle,"Esmail, Reena",Sitar Concerto
South Dakota,"Esmail, Reena",My sister's voice
Nashville,"Estévez, Antonio",Cantata Criolla
Midland-Odessa,"Etezady, Roshanne",Diamond Rain
Minnesota,"Fagerlund, Sebastian",Ignite
Minnesota,"Fagerlund, Sebastian",Water Atlas
St. Louis,"Fagerlund, Sebastian",Drifts
Albany,"Falla, Manuel de",Three-Cornered Hat
Columbus,"Falla, Manuel de",Nights in the Gardens of Spain
Midland-Odessa,"Falla, Manuel de",Selected Vocal Work(s) TBD
Naples,"Falla, Manuel de",Three-Cornered Hat
Pittsburgh,"Falla, Manuel de",Three-Cornered Hat
San Antonio,"Falla, Manuel de",Nights in the Gardens of Spain
San Antonio,"Falla, Manuel de",Three-Cornered Hat
San Francisco,"Fang, Man",New Work
Ann Arbor,"Farrenc, Louise",Symphony no. 3
Chattanooga,"Farrenc, Louise",Overture No. 2
Richmond,"Farrenc, Louise",Overture No. 1
Colorado,"Fauré, Gabriel",Pavane
Houston,"Fauré, Gabriel",Masques et bergmasques
Richmond,"Fauré, Gabriel",Pavane
River Oaks,"Fauré, Gabriel",Masques et bergmasques
Tacoma,"Fauré, Gabriel",Fantasy for Flute and Chamber Orchestra
Tucson,"Fauré, Gabriel",Pavane
Utah,"Fauré, Gabriel",Requiem
Cleveland,"Feldman, Morton",Rothko Chapel
Tulsa,"Fleck, Béla",Juno Concerto
Rockford,"Floyd, Carlisle",Pilgrimage
Buffalo,"Foote, Arthur",Cello Concerto
Winston-Salem,"Foss, Lukas",Renaissance Concerto
Charlotte,"Franck, César",Symphony in D minor
Houston,"Franck, César",Symphony in D minor
Kansas City,"Franck, César",Psyché et Eros
Milwaukee,"Franck, César",Symphony in D minor
Portland,"Franck, César",Le Chasseur maudit
Seattle,"Franck, César",Symphony in D minor
Albany,"Frank, Gabriela Lena",Apu
Atlanta,"Frank, Gabriela Lena",Walkabout: Concerto for Orchestra
Charlotte,"Frank, Gabriela Lena",Elegía Andina
Chattanooga,"Frank, Gabriela Lena",Apu
Chicago,"Frank, Gabriela Lena",Haillí-Serenata
Harrisburg,"Frank, Gabriela Lena",Three Latin American Dances
Long Beach,"Frank, Gabriela Lena",Concertina Cusqueño
Minnesota,"Frank, Gabriela Lena","Danza del Pueblo, from Requiem for a Magical America"
Minnesota,"Frank, Gabriela Lena",Pachamana Meets an Ode
North Carolina,"Frank, Gabriela Lena",Elegía Andina
Pasadena,"Frank, Gabriela Lena",Elegía Andina
Philadelphia,"Frank, Gabriela Lena",Picaflor (world premeire)
San Antonio,"Frank, Gabriela Lena",Three Latin American Dances
Tucson,"Frank, Gabriela Lena",Elegía Andina
St. Paul Chamber,"French, PaviElle",Sands of Time
Santa Barbara,"Frost, Robin",Serenade for Strings
Grant Park,"Fuchs, Robert",Symphony No. 2
Louisiana,"Fuller, Tucker",It Moves Us Not
Albany,"Fung, Vivian",A Child's Dream of Toys
Charlotte,"Fung, Vivian",Dust Devils
Louisiana,"Fung, Vivian",String Sinfonietta
Austin,"Gabrieli, Giovanni",Sonata pian e forte
Houston,"Gabrieli, Giovanni",Brass Music Selections
Milwaukee,"Gabrieli, Giovanni",Canzone Septimi toni 
Oklahoma City,"Gabrieli, Giovanni",Canzone Septimi toni no. 2
Orlando,"Gabrieli, Giovanni",Canzon Per sonare no. 2
Orlando,"Gabrieli, Giovanni",Canzone Septimi toni no. 2
Orlando,"Gabrieli, Giovanni",O Magnum Mysterium
San Diego,"Gabrieli, Giovanni",Canzonas for Brass (selections)
Atlanta,"Gandolfi, Michael",Piano Concerto
Atlanta,"Gandolfi, Michael",The Nature of Light
Grant Park,"Gardel, Carlos",Por una cabeza
Pittsburgh,"Garrop, Stacy",New Work (world premiere)
St. Louis,"Garrop, Stacy",Goddess Triptych
Colorado Springs,"Gerhard, Roberto",Don Quixote Dances
Santa Barbara,"Gerhard, Roberto",Don Quixote Dances
Virginia,"German, Edward",Three Dances for Henry VIII
Baltimore,"Gershwin, George",I Got Rhythm Variations for Piano and Orchestra
Boston,"Gershwin, George",Second Rhapsody for Piano and Orchestra
Buffalo,"Gershwin, George",American in Paris
Colorado,"Gershwin, George",American in Paris
Columbus,"Gershwin, George",Rhapsody in Blue
Elgin,"Gershwin, George",American in Paris
Kansas City,"Gershwin, George",Concerto in F
Los Angeles,"Gershwin, George",Porgy and Bess (Selections)
Louisiana,"Gershwin, George",Rhapsody in Blue
Midland-Odessa,"Gershwin, George",Piano Concerto
Milwaukee,"Gershwin, George",Second Rhapsody for Piano and Orchestra
New Jersey,"Gershwin, George",I Got Rhythm Variations for Piano and Orchestra
New Jersey,"Gershwin, George",American in Paris
New Jersey,"Gershwin, George",Concerto in F
New Jersey,"Gershwin, George",Porgy and Bess (Selections)
New Jersey,"Gershwin, George",Three Preludes
North Carolina,"Gershwin, George",Piano Concerto
Orlando,"Gershwin, George",Suite from Porgy and Bess
Pasadena,"Gershwin, George",Rhapsody in Blue
Philadelphia,"Gershwin, George",Rhapsody in Blue
Pittsburgh,"Gershwin, George",Concerto in F
Quad City,"Gershwin, George",Cuban Overture
Richmond,"Gershwin, George",Concerto in F
San Francisco,"Gershwin, George",Concerto in F
San Francisco,"Gershwin, George",Rhapsody in Blue
Santa Barbara,"Gershwin, George",Concerto in F
Santa Rosa,"Gershwin, George",Rhapsody in Blue
Santa Rosa,"Gershwin, George",Second Rhapsody for Piano and Orchestra
Sarasota,"Gershwin, George",Piano Concerto
Silicon Valley,"Gershwin, George",Cuban Overture
South Dakota,"Gershwin, George",Lullaby
St. Louis,"Gershwin, George",Porgy and Bess: A Symphonic Picture
Tacoma,"Gershwin, George",Catfish Row
Toledo,"Gershwin, George",I Got Rhythm Variations for Piano and Orchestra
Toledo,"Gershwin, George",Rhapsody in Blue
Tulsa,"Gershwin, George",Piano Concerto
Virginia,"Gershwin, George",Rhapsody in Blue
Seattle,"Gibson, Sarah",warp & weft
Atlanta,"Ginastera, Alberto",Violin Concerto
Baltimore,"Ginastera, Alberto",Variaciones concertantes
Dallas,"Ginastera, Alberto",Harp Concerto
Grant Park,"Ginastera, Alberto",Estancia
Indianapolis,"Ginastera, Alberto",Four Dances from Estancia
Los Angeles,"Ginastera, Alberto",Four Dances from Estancia
Midland-Odessa,"Ginastera, Alberto",Selected Vocal work(s) TBD
Minnesota,"Ginastera, Alberto",Harp Concerto
National,"Ginastera, Alberto",Four Dances from Estancia
Philadelphia,"Ginastera, Alberto",Piano Concerto no. 1
San Francisco,"Ginastera, Alberto",Violin Concerto
Santa Barbara,"Ginastera, Alberto",Four Dances from Estancia
Silicon Valley,"Ginastera, Alberto",Four Dances from Estancia
Utah,"Ginastera, Alberto",Estancia
Chicago,"Giordano, Umberto",Amor ti vieta (from Fedora)
Canton,"Gjeilo, Ola",Sunrise Mass
Boston,"Glanert, Detlev",Concerto for Trumpet
Charlotte,"Glass, Philip",Company
Cleveland,"Glass, Philip","Satyagraha, Act III: Finale"
Hartford,"Glass, Philip",Violin Concerto no. 1
Albany,"Glazunov, Alexander",Violin Concerto
Buffalo,"Glazunov, Alexander",Winter from The seasons
Houston,"Glazunov, Alexander",Concert Waltz No. 1 
Indianapolis,"Glazunov, Alexander",Symphony No. 5 in B-flat Major
Princeton,"Glière, Reinhold",Harp Concerto
West Virginia,"Glière, Reinhold",Harp Concerto
Dallas,"Glinka, Mikhail",Overture to Russlan and Ludmilla
Fort Worth,"Glinka, Mikhail",Overture to Russlan and Ludmilla
Greensboro,"Glinka, Mikhail",Overture to Russlan and Ludmilla
Omaha,"Glinka, Mikhail",Capriccio Brillante
New Jersey,"Gluck, Christoph",Armide (Selections)
Spokane,"Gluck, Christoph",Overture to Iphigenie en Aulide
Augusta,"Golijov, Osvaldo",Sidereus
Quad City,"Golijov, Osvaldo",Last Round
Toledo,"Goodyear, Stewart",Callaloo
Boston,"Górecki, Henryk",Symphony No. 3 - Symphony of Sorroful Songs
Naples,"Górecki, Henryk",Zan Tontemiquico
Rockford,"Goulet, Maxime",Symphonic Chocolates
Santa Barbara,"Granados, Enrique",Intermezzo from Goyescas
Baltimore,"Grieg, Edvard",Peer Gynt Suite No. 1
Boston,"Grieg, Edvard",Holberg Suite
Charlotte,"Grieg, Edvard",Piano Concerto
Cincinnati,"Grieg, Edvard",Peer Gynt (Full)
Cincinnati,"Grieg, Edvard",Piano Concerto
Cleveland,"Grieg, Edvard",Piano Concerto
Hartford,"Grieg, Edvard",Piano Concerto
Houston,"Grieg, Edvard",Piano Concerto
Long Beach,"Grieg, Edvard",Peer Gynt (Full)
Los Angeles,"Grieg, Edvard",Peer Gynt Suite No. 1
Los Angeles,"Grieg, Edvard",Piano Concerto
Milwaukee,"Grieg, Edvard",Peer Gynt (Full)
Minnesota,"Grieg, Edvard",In the Hall of the Mountain King
Minnesota,"Grieg, Edvard",Piano Concerto
Naples,"Grieg, Edvard",Symphony in C minor
