ENSEMBLE,COMPOSER,WORK,COMP.CODE,ARR.CODE,COMP.LIVE,ARR.LIVE,LAO.GROUP
Orchestra Iowa,"Mozetich, Marjan",Passion of Angels,1,,1,,4
New York,"Muhly, Nico",Concerto for Two Pianos,1,,1,,1
Dallas,"Murphy, Ryan",New work (choral),1,,1,,1
Akron,Mussorgsky,Kovantchina: Dawn on the Moscow River,1,,2,,5
Albany,Mussorgsky,Pictures at an Exhibition,1,,2,,4
Austin,Mussorgsky,Pictures at an Exhibition,1,,2,,3
Charleston,Mussorgsky,Pictures at an Exhibition,1,,2,,3
Charlotte,Mussorgsky,Night on Bald Mountain,1,,2,,2
Chattanooga,Mussorgsky,Pictures at an Exhibition,1,,2,,6
Chautauqua,Mussorgsky,Pictures at an Exhibition,1,,2,,6
Chicago Sinfonietta,Mussorgsky,Pictures at an Exhibition,1,,2,,4
Cleveland,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Detroit,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Houston,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Indianapolis,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Kalamazoo,Mussorgsky,Pictures at an Exhibition,1,,2,,5
Las Vegas,Mussorgsky,Pictures at an Exhibition,1,,2,,5
Milwaukee,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Minnesota,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Oregon,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Pasadena,Mussorgsky,Pictures at an Exhibition,1,,2,,6
Princeton,Mussorgsky,Pictures at an Exhibition,1,,2,,5
River Oaks,Mussorgsky,Pictures at an Exhibition,1,,2,,5
San Francisco,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Santa Rosa,Mussorgsky,Pictures at an Exhibition,1,,2,,3
Savannah,Mussorgsky,Pictures at an Exhibition,1,,2,,5
Seattle,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Seattle,Mussorgsky,Pictures at an Exhibition,1,,2,,1
South Dakota,Mussorgsky,Pictures at an Exhibition,1,,2,,5
St. Louis,Mussorgsky,Pictures at an Exhibition,1,,2,,1
Tulsa,Mussorgsky,Pictures at an Exhibition,1,,2,,4
Utah,Mussorgsky,Night on Bald Mountain,1,,2,,1
Boston,"Nathan, Eric",Concerto for Orchestra,1,,1,,1
San Diego,Neruda,Trumpet Concerto,1,,2,,1
Louisville,"Neustadter, Garth",Seaborne,1,,1,,3
Akron,"Newmaster, Kyle",Impressions of Cheonmachong (Korean Three Drum Dance),1,,1,,5
Canton,Nicolai,Overture to the Merry Wives of Windsor,1,,2,,5
Alabama,Nielsen,Helios Overture,1,,2,,3
Alabama,Nielsen,Symphony No. 4,1,,2,,3
Atlanta,Nielsen,Symphony No. 3,1,,2,,1
Chicago,Nielsen,Helios Overture,1,,2,,1
Chicago,Nielsen,Violin Concerto,1,,2,,1
Cleveland,Nielsen,Symphony No. 5,1,,2,,1
Colorado,Nielsen,Symphony No. 4,1,,2,,6
Memphis,Nielsen,Symphony No. 4,1,,2,,3
National Symphony,Nielsen,Symphony No. 4,1,,2,,1
Philadelphia,Nielsen,Flute Concerto,1,,2,,1
Pittsburgh,Nielsen,Helios Overture,1,,2,,1
Reno,Nielsen,Symphony No. 4,1,,2,,4
San Francisco,Nielsen,Symphony No. 5,1,,2,,1
Seattle,Nielsen,Maskarade Overture,1,,2,,1
Grand Rapids,"Norman, Andrew",Suspend for Piano and Orchestra,1,,1,,2
LA Chamber,"Norman, Andrew",New work,1,,1,,2
Los Angeles,"Norman, Andrew",Cello Concerto,1,,1,,1
Los Angeles,"Norman, Andrew",Suspend for Piano and Orchestra,1,,1,,1
Los Angeles,"Norman, Andrew",Sustain,1,,1,,1
Los Angeles,"Norman, Andrew",Unstuck,1,,1,,1
Nashville,"Norman, Andrew",Spiral,1,,1,,1
Phoenix,"Norman, Andrew",SWITCH for percussion and orchestra,1,,1,,2
San Diego,"Norman, Andrew",Drip Blip Sparkle Spin Glint Glide Glow Float Flop Chop Pop Shatter Splash,1,,1,,1
Utah,"Norman, Andrew",Sacred Geometry,1,,1,,1
Utah,"Norman, Andrew",Spiral,1,,1,,1
Utah,"Norman, Andrew",Unstuck,1,,1,,1
Des Moines,Offenbach/Rosenthal,Music from Gaite Parisienne,1,1,2,2,6
Atlanta,Orff,Carmina Burana,1,,2,,1
Chicago,Orff,Carmina Burana,1,,2,,1
Columbus,Orff,Carmina Burana,1,,2,,2
Des Moines,Orff,Carmina Burana,1,,2,,6
Detroit,Orff,Carmina Burana,1,,2,,1
Memphis,Orff,Carmina Burana,1,,2,,3
Modesto,Orff,Carmina Burana,1,,2,,5
National Symphony,Orff,Carmina Burana,1,,2,,1
Pacific,Orff,Carmina Burana,1,,2,,1
Santa Cruz,Orff,Carmina Burana,1,,2,,5
Toledo,Orff,Carmina Burana,1,,2,,3
Utah,Orff,Carmina Burana,1,,2,,1
Wichita,Orff,Carmina Burana,1,,2,,4
Albany,Pachebel,Canon in D,1,,2,,4
Detroit,Paganini,Violin Concerto No. 1,1,,2,,1
Florida,Paganini,Violin Concerto No. 1,1,,2,,2
Houston,Paganini,Violin Concerto No. 1,1,,2,,1
Oklahoma City,Paganini,Violin Concerto No. 2,1,,2,,3
Oregon,Paganini,Violin Concerto No. 1,1,,2,,1
Pacific,Paganini,Violin Concerto No. 1,1,,2,,1
Richmond,Paganini,Violin Concerto No. 1,1,,2,,3
Santa Barbara,Paganini,Violin Concerto No. 1,1,,2,,3
Wisconsin Chamber,Paganini,Violin Concerto No. 1,1,,2,,3
Austin,"Palmgren, Selim",Exotisk Marsch,1,,2,,3
Orchestra Iowa,"Panufnik, Andrzej",Landscape,1,,2,,4
Nashville,"Parker, Horatio",Organ Concerto,1,,2,,1
Charleston,"Parry, Hubert",Blest Pair of Sirens,1,,2,,3
Charleston,"Parry, Hubert",Jerusalem,1,,2,,3
South Dakota,Pärt,Stabat Mater,1,,2,,5
California,"Pärt, Arvo",Fratres,1,,1,,5
Minnesota,"Pärt, Arvo",Cantus in Memoriam Benjamin Britten,1,,1,,1
Naples,"Pärt, Arvo",Swansong,1,,1,,2
Spokane,"Pärt, Arvo",Trisagion,1,,1,,3
St. Louis,"Pärt, Arvo",Cantus in Memoriam Benjamin Britten,1,,1,,1
Memphis,"Patterson, Robert",Ventures on the Bluff,1,,1,,3
Tacoma,"Petersson, Simon",Spheres,1,,1,,5
Pittsburgh,"Pintscher, Mathias",Ex Hihilo,1,,1,,1
Portland,Piston,The Incredible Flutist,1,,2,,3
Boise,Poulenc,Gloria,1,,2,,5
Boise,Poulenc,Les biches Suite,1,,2,,5
Boston,Poulenc,Concerto for Two Pianos,1,,2,,1
Boston,Poulenc,Gloria,1,,2,,1
Boston,Poulenc,Organ Concerto,1,,2,,1
Cape,Poulenc,Concerto for Two Pianos,1,,2,,4
Cleveland,Poulenc,Sinfonietta,1,,2,,1
Detroit,Poulenc,Les animaux modéles,1,,2,,1
Kansas City,Poulenc,"""Salve Regina"" (chorus only)",1,,2,,2
National Symphony,Poulenc,Litanies a la Vierge Noire,1,,2,,1
National Symphony,Poulenc,Organ Concerto,1,,2,,1
North Carolina,Poulenc,Concerto for Two Pianos,1,,2,,2
Quad City,Poulenc,Concerto for Two Pianos,1,,2,,4
Rochester,Poulenc,Les animaux modéles,1,,2,,2
Santa Barbara,Poulenc,Organ Concerto,1,,2,,3
St. Louis,Poulenc,Les biches Suite,1,,2,,1
West Virginia,Poulenc,Organ Concerto,1,,2,,3
Los Angeles,"Previn, Andre",New work,1,,1,,1
Atlanta,"Prior, Richard",Symphony No. 4,1,,1,,1
Akron,Prokofiev,Piano Concerto No. 3,1,,2,,5
Albany,Prokofiev,Romeo and Juliet Suite,1,,2,,4
Allentown,Prokofiev,Violin Concerto No. 2,1,,2,,3
Atlanta,Prokofiev,Romeo and Juliet Suite,1,,2,,1
Atlanta,Prokofiev,Suite from Lieutenant Kijé,1,,2,,1
Atlanta,Prokofiev,Symphony No. 5,1,,2,,1
Baltimore,Prokofiev,Romeo and Juliet Suite,1,,2,,1
Baltimore,Prokofiev,Symphony No. 1,1,,2,,1
Baltimore,Prokofiev,Symphony No. 5,1,,2,,1
Boston,Prokofiev,Piano Concerto No. 2,1,,2,,1
Boston,Prokofiev,Violin Concerto No. 1,1,,2,,1
Chautauqua,Prokofiev,Violin Concerto No. 2,1,,2,,6
Chicago,Prokofiev,Overture on Hebrew Themes,1,,2,,1
Cincinnati,Prokofiev,Symphony No. 5,1,,2,,1
Cleveland,Prokofiev,"Romeo and Juliet, Act 1",1,,2,,1
Cleveland,Prokofiev,Symphony No. 2,1,,2,,1
Cleveland,Prokofiev,Symphony No. 3,1,,2,,1
Cleveland,Prokofiev,Symphony No. 6,1,,2,,1
Cleveland,Prokofiev,The Love of Three Oranges Suite,1,,2,,1
Cleveland,Prokofiev,Violin Concerto No. 2,1,,2,,1
Colorado,Prokofiev,Piano Concerto No. 2,1,,2,,6
Colorado,Prokofiev,Romeo and Juliet Suite,1,,2,,6
Columbus,Prokofiev,Violin Concerto No. 2,1,,2,,2
Dallas,Prokofiev,Classical Symphony,1,,2,,1
Dallas,Prokofiev,Symphony No. 6,1,,2,,1
Detroit,Prokofiev,Suite from The Love of Three Oranges,1,,2,,1
Detroit,Prokofiev,Symphony No. 4,1,,2,,1
Detroit,Prokofiev,Violin Concerto No. 2,1,,2,,1
Eugene,Prokofiev,Piano Concerto No. 3,1,,2,,4
Grand Rapids,Prokofiev,Symphony No. 5,1,,2,,2
Grant Park,Prokofiev,Violin Concerto No. 1,1,,2,,3
Harrisburg,Prokofiev,Classical Symphony,1,,2,,4
Hartford,Prokofiev,Romeo and Juliet Suite,1,,2,,3
Jacksonville,Prokofiev,Violin Concerto No. 1,1,,2,,2
Kalamazoo,Prokofiev,Violin Concerto No. 2,1,,2,,5
Kansas City,Prokofiev,Violin Concerto No. 2,1,,2,,2
Las Colinas,Prokofiev,Symphony No. 5,1,,2,,5
Los Angeles,Prokofiev,Violin Concerto No. 2,1,,2,,1
Louisiana,Prokofiev,Piano Concerto No. 1,1,,2,,3
Louisiana,Prokofiev,Symphony No. 1,1,,2,,3
Louisiana,Prokofiev,Symphony No. 5,1,,2,,3
Madison,Prokofiev,Piano Concerto No. 3,1,,2,,3
Madison,Prokofiev,Suite from Lieutenant Kijé,1,,2,,3
Madison,Prokofiev,Symphony No. 5,1,,2,,3
Milwaukee,Prokofiev,Piano Concerto No. 3,1,,2,,1
Milwaukee,Prokofiev,Symphony No. 3,1,,2,,1
Minnesota,Prokofiev,Cinderella Suite,1,,2,,1
Mobile,Prokofiev,Symphony No. 5,1,,2,,5
Nashville,Prokofiev,Romeo and Juliet Suite,1,,2,,1
New Jersey,Prokofiev,Romeo and Juliet Suite,1,,2,,2
New York,Prokofiev,Suite from The Love of Three Oranges,1,,2,,1
New York,Prokofiev,Symphony No. 1,1,,2,,1
North Carolina,Prokofiev,Overture on Hebrew Themes,1,,2,,2
North Carolina,Prokofiev,Piano Concerto No. 2,1,,2,,2
Oregon,Prokofiev,Symphony No. 5,1,,2,,1
Pacific,Prokofiev,Symphony No. 7,1,,2,,1
Philadelphia,Prokofiev,Symphony No. 5,1,,2,,1
Phoenix,Prokofiev,Violin Concerto No. 2,1,,2,,2
Pittsburgh,Prokofiev,Romeo and Juliet Suite,1,,2,,1
Pittsburgh,Prokofiev,Symphony No. 3,1,,2,,1
Quad City,Prokofiev,Romeo and Juliet Suite,1,,2,,4
Richmond,Prokofiev,Summer Day: Children's Suite for Small Orchestra,1,,2,,3
Rochester,Prokofiev,War and Peace Suite,1,,2,,2
Rockford,Prokofiev,Symphony No. 5,1,,2,,5
San Antonio,Prokofiev,Violin Concerto No. 2,1,,2,,6
San Diego,Prokofiev,Piano Concerto No. 3,1,,2,,1
San Francisco,Prokofiev,Piano Concerto No. 1,1,,2,,1
San Francisco,Prokofiev,Romeo and Juliet Suite,1,,2,,1
Santa Cruz,Prokofiev,Symphony No. 5,1,,2,,5
Sarasota,Prokofiev,Violin Concerto No. 2,1,,2,,2
Savannah,Prokofiev,Symphony No. 5,1,,2,,5
Seattle,Prokofiev,Classical Symphony,1,,2,,1
South Dakota,Prokofiev,Sinfonia Concertante,1,,2,,5
Spokane,Prokofiev,Symphony No. 3,1,,2,,3
St. Louis,Prokofiev,Piano Concerto No. 1,1,,2,,1
St. Louis,Prokofiev,Symphony No. 5,1,,2,,1
St. Louis,Prokofiev,Violin Concerto No. 1,1,,2,,1
St. Paul Chamber,Prokofiev,Symphony No. 1,1,,2,,1
St. Paul Chamber,Prokofiev,Violin Concerto No. 1,1,,2,,1
Tacoma,Prokofiev,Romeo and Juliet Suite,1,,2,,5
Utah,Prokofiev,Symphony No. 5,1,,2,,1
Virginia,Prokofiev,Violin Concerto No. 2,1,,2,,3
West Virginia,Prokofiev,Romeo and Juliet Suite,1,,2,,3
York,Prokofiev,Symphony No. 5,1,,2,,5
Evansville,Puccini,Turandot (concert version),1,,2,,5
Greensboro,Puccini,Capriccio Sinfonico,1,,2,,5
Las Colinas,Puccini,Crisantemi,1,,2,,5
Pittsburgh,Puccini,Symphonic Suite from Turandot,1,,2,,1
Grant Park,"Puckett, Joel",Concerto Duo,1,,1,,3
Atlanta,Purcell,Selections from Dido and Aeneas,1,,2,,1
Baltimore,Purcell,The Fairy Queen: Suite No. 1,1,,2,,1
Chicago,Purcell,Chacony in G Minor,1,,2,,1
Chicago,Purcell,Dido's Lament from Dido and Aeneas,1,,2,,1
Dallas,Purcell,Chacony in G Minor,1,,2,,1
California,"Puts, Kevin",Flute Concerto,1,,1,,5
Colorado,"Puts, Kevin",Brightness of Light,1,,1,,6
Harrisburg,"Puts, Kevin",Flute Concerto,1,,1,,4
Kansas City,"Puts, Kevin",Inspiring Beethoven,1,,1,,2
National Symphony,"Puts, Kevin",Brightness of Light,1,,1,,1
St. Louis,"Puts, Kevin",Silent Night Elegy,1,,1,,1
St. Louis,"Puts, Kevin",Virelai (World Premiere),1,,1,,1
Reading,Rachmaninioff,Piano Concerto No. 2,1,,2,,6
Akron,Rachmaninoff,Symphonic Dances,1,,2,,5
Alabama,Rachmaninoff,Piano Concerto No. 2,1,,2,,3
Alabama,Rachmaninoff,Symphonic Dances,1,,2,,3
Albany,Rachmaninoff,Symphony No. 2,1,,2,,4
Allentown,Rachmaninoff,Piano Concerto No. 2,1,,2,,3
Amarillo,Rachmaninoff,Piano Concerto No. 2,1,,2,,5
Augusta,Rachmaninoff,Symphony No. 2,1,,2,,5
Austin,Rachmaninoff,Piano Concerto No. 3,1,,2,,3
Baltimore,Rachmaninoff,Piano Concerto No. 3,1,,2,,1
Boston,Rachmaninoff,All-Night Vigil,1,,2,,1
Boston,Rachmaninoff,Symphony No. 3,1,,2,,1
Buffalo,Rachmaninoff,Piano Concerto No. 2,1,,2,,2
Charleston,Rachmaninoff,Piano Concerto No. 2,1,,2,,3
Chattanooga,Rachmaninoff,Piano Concerto No. 3,1,,2,,6
Chautauqua,Rachmaninoff,Symphony No. 2,1,,2,,6
Chautauqua,Rachmaninoff,The Isle of the Dead,1,,2,,6
Cincinnati,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,1
Cleveland,Rachmaninoff,Piano Concerto No. 4,1,,2,,1
Cleveland,Rachmaninoff,The Isle of the Dead,1,,2,,1
Colorado,Rachmaninoff,Piano Concerto No. 3,1,,2,,6
Colorado,Rachmaninoff,Symphonic Dances,1,,2,,6
Columbus,Rachmaninoff,Piano Concerto No. 3,1,,2,,2
Dallas,Rachmaninoff,Piano Concerto No. 3,1,,2,,1
Dallas,Rachmaninoff,Symphonic Dances,1,,2,,1
Dallas,Rachmaninoff,Symphony No. 3,1,,2,,1
Detroit,Rachmaninoff,Piano Concerto No. 3,1,,2,,1
Elgin,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,6
Elgin,Rachmaninoff,Symphony No. 3,1,,2,,6
Eugene,Rachmaninoff,Piano Concerto No. 2,1,,2,,4
Evansville,Rachmaninoff,Piano Concerto No. 2,1,,2,,5
Florida,Rachmaninoff,Piano Concerto No. 3,1,,2,,2
Fort Worth,Rachmaninoff,Piano Concerto No. 3,1,,2,,2
Fort Worth,Rachmaninoff,Symphony No. 2,1,,2,,2
Harrisburg,Rachmaninoff,Symphonic Dances,1,,2,,4
Hartford,Rachmaninoff,Piano Concerto No. 3,1,,2,,3
Jacksonville,Rachmaninoff,Symphonic Dances,1,,2,,2
Jacksonville,Rachmaninoff,Symphony No. 2,1,,2,,2
Knoxville,Rachmaninoff,Symphonic Dances,1,,2,,3
Los Angeles,Rachmaninoff,Piano Concerto No. 2,1,,2,,1
Louisiana,Rachmaninoff,Symphonic Dances,1,,2,,3
Louisville,Rachmaninoff,Piano Concerto No. 2,1,,2,,3
Louisville,Rachmaninoff,Symphony No. 2,1,,2,,3
Milwaukee,Rachmaninoff,Symphony No. 2,1,,2,,1
Milwaukee,Rachmaninoff,The Isle of the Dead,1,,2,,1
Minnesota,Rachmaninoff,Piano Concerto No. 1,1,,2,,1
Minnesota,Rachmaninoff,Piano Concerto No. 2,1,,2,,1
Minnesota,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,1
Minnesota,Rachmaninoff,Symphony No. 2,1,,2,,1
Minnesota,Rachmaninoff,Three Russian Songs,1,,2,,1
Modesto,Rachmaninoff,Piano Concerto No. 2,1,,2,,5
Naples,Rachmaninoff,Symphonic Dances,1,,2,,2
Nashville,Rachmaninoff,The Bells,1,,2,,1
National Symphony,Rachmaninoff,Piano Concerto No. 1,1,,2,,1
New Jersey,Rachmaninoff,Piano Concerto No. 3,1,,2,,2
New York,Rachmaninoff,Piano Concerto No. 3,1,,2,,1
North Carolina,Rachmaninoff,Piano Concerto No. 3,1,,2,,2
Omaha,Rachmaninoff,Symphony No. 2,1,,2,,2
Orchestra Iowa,Rachmaninoff,Piano Concerto No. 3,1,,2,,4
Oregon,Rachmaninoff,Symphony No. 3,1,,2,,1
Pacific,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,1
Pacific,Rachmaninoff,Symphony No. 3,1,,2,,1
Pasadena,Rachmaninoff,Piano Concerto No. 3,1,,2,,6
Philadelphia,Rachmaninoff,Piano Concerto No. 2,1,,2,,1
Philadelphia,Rachmaninoff,Symphony No. 3,1,,2,,1
Phoenix,Rachmaninoff,Piano Concerto No. 3,1,,2,,2
Phoenix,Rachmaninoff,Vocalise,1,,2,,2
Pittsburgh,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,1
Princeton,Rachmaninoff,Piano Concerto No. 2,1,,2,,5
Richmond,Rachmaninoff,Symphonic Dances,1,,2,,3
Richmond,Rachmaninoff,The Bells,1,,2,,3
Rochester,Rachmaninoff,Symphony No. 2,1,,2,,2
San Antonio,Rachmaninoff,Piano Concerto No. 3,1,,2,,6
San Diego,Rachmaninoff,Symphony No. 3,1,,2,,1
San Francisco,Rachmaninoff,Piano Concerto No. 4,1,,2,,1
Seattle,Rachmaninoff,Piano Concerto No. 1,1,,2,,1
Seattle,Rachmaninoff,Piano Concerto No. 2,1,,2,,1
Seattle,Rachmaninoff,Piano Concerto No. 3,1,,2,,1
Seattle,Rachmaninoff,Piano Concerto No. 4,1,,2,,1
Seattle,Rachmaninoff,Symphony No. 2,1,,2,,1
Silicon Valley,Rachmaninoff,Symphonic Dances,1,,2,,3
South Bend,Rachmaninoff,Symphonic Dances,1,,2,,5
South Dakota,Rachmaninoff,Piano Concerto No. 3,1,,2,,5
Spokane,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,3
St. Louis,Rachmaninoff,Piano Concerto No. 3,1,,2,,1
St. Louis,Rachmaninoff,Symphonic Dances,1,,2,,1
Stamford,Rachmaninoff,Piano Concerto No. 2,1,,2,,5
Tacoma,Rachmaninoff,Symphony No. 3,1,,2,,5
Toledo,Rachmaninoff,Piano Concerto No. 3,1,,2,,3
Tucson,Rachmaninoff,Symphonic Dances,1,,2,,3
Utah,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,1
Utah,Rachmaninoff,Symphony No. 3,1,,2,,1
Virginia,Rachmaninoff,Rhapsody on a theme by Paganini,1,,2,,3
West Virginia,Rachmaninoff,Symphonic Dances,1,,2,,3
Winston-Salem,Rachmaninoff,Piano Concerto No. 1,1,,2,,4
York,Rachmaninoff,Symphonic Dances,1,,2,,5
LA Chamber,Rameau,Music from Dardanus,1,,2,,2
Chicago,"Rands, Bernard",DREAM,1,,1,,1
Chautauqua,Rautavaara,Concerto for Birds and Orchestra,1,,2,,6
Minnesota,Rautavaara,Requiem in Our Time,1,,2,,1
Virginia,Rautavaara,Concerto for Birds and Orchestra,1,,2,,3
Arkansas,Ravel,La Valse,1,,2,,3
Baltimore,Ravel,Mother Goose Suite,1,,2,,1
Baltimore,Ravel,Pavane pour une infante défunte,1,,2,,1
Boise,Ravel,Boléro,1,,2,,5
Boston,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,1
Boston,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,1
Chattanooga,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,6
Chautauqua,Ravel,Le Tombeau de Couperin,1,,2,,6
Chicago,Ravel,Boléro,1,,2,,1
Chicago,Ravel,Piano Concerto in G Major,1,,2,,1
Cincinnati,Ravel,Boléro,1,,2,,1
Cincinnati,Ravel,L'enfant et les sortiléges,1,,2,,1
Cincinnati,Ravel,Pavane pour une infante défunte,1,,2,,1
Cleveland,Ravel,La Valse,1,,2,,1
Colorado,Ravel,Boléro,1,,2,,6
Colorado,Ravel,La Valse,1,,2,,6
Columbus,Ravel,Mother Goose Suite,1,,2,,2
Dallas,Ravel,Piano Concerto in G Major,1,,2,,1
Dallas,Ravel,Rapsodie espagnole,1,,2,,1
Dallas,Ravel,Tzigane for Violin and Orchestra,1,,2,,1
Detroit,Ravel,Piano Concerto for the Left Hand,1,,2,,1
Detroit,Ravel,Shéhérazade,1,,2,,1
Elgin,Ravel,Boléro,1,,2,,6
Elgin,Ravel,Mother Goose Suite,1,,2,,6
Erie,Ravel,Alborada del gracioso,1,,2,,5
Eugene,Ravel,Boléro,1,,2,,4
Florida,Ravel,Boléro,1,,2,,2
Grant Park,Ravel,Mother Goose Suite,1,,2,,3
Harrisburg,Ravel,Boléro,1,,2,,4
Indianapolis,Ravel,Le Tombeau de Couperin,1,,2,,1
Indianapolis,Ravel,Piano Concerto in G Major,1,,2,,1
Jacksonville,Ravel,La Valse,1,,2,,2
Jacksonville,Ravel,Le Tombeau de Couperin,1,,2,,2
Kalamazoo,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,5
LA Chamber,Ravel,Piano Concerto in G Major,1,,2,,2
Las Colinas,Ravel,Tzigane for Violin and Orchestra,1,,2,,5
Los Angeles,Ravel,La Valse,1,,2,,1
Louisville,Ravel,Tzigane for Violin and Orchestra,1,,2,,3
Memphis,Ravel,Don Quichotte a Dulcinee,1,,2,,3
Memphis,Ravel,Scenes from Mother Goose Suite,1,,2,,3
Milwaukee,Ravel,Boléro,1,,2,,1
Milwaukee,Ravel,Mother Goose Suite,1,,2,,1
Minnesota,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,1
Minnesota,Ravel,Pavane pour une infante défunte,1,,2,,1
Minnesota,Ravel,Piano Concerto in G Major,1,,2,,1
Mobile,Ravel,Piano Concerto in G Major,1,,2,,5
Naples,Ravel,Boléro,1,,2,,2
Naples,Ravel,Piano Concerto for the Left Hand,1,,2,,2
Nashville,Ravel,La Valse,1,,2,,1
National Symphony,Ravel,Boléro,1,,2,,1
National Symphony,Ravel,Pavane pour une infante défunte,1,,2,,1
New York,Ravel,La Valse,1,,2,,1
New York,Ravel,Shéhérazade,1,,2,,1
North Carolina,Ravel,Piano Concerto in G Major,1,,2,,2
Oklahoma City,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,3
Oklahoma City,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,3
Omaha,Ravel,Le Tombeau de Couperin,1,,2,,2
Oregon,Ravel,Boléro,1,,2,,1
Orlando,Ravel,Boléro,1,,2,,3
Pacific,Ravel,Le Tombeau de Couperin,1,,2,,1
Pacific,Ravel,Piano Concerto in G Major,1,,2,,1
Pacific,Ravel,Tzigane for Violin and Orchestra,1,,2,,1
Peoria,Ravel,Le Tombeau de Couperin,1,,2,,5
Peoria,Ravel,Piano Concerto in G Major,1,,2,,5
Philadelphia,Ravel,Alborada del gracioso,1,,2,,1
Philadelphia,Ravel,L'enfant et les sortiléges,1,,2,,1
Phoenix,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,2
Pittsburgh,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,1
Pittsburgh,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,1
Pittsburgh,Ravel,Tzigane for Violin and Orchestra,1,,2,,1
Plano,Ravel,Boléro,1,,2,,5
Plano,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,5
Plano,Ravel,Piano Concerto in G Major,1,,2,,5
Portland,Ravel,Piano Concerto in G Major,1,,2,,3
Richmond,Ravel,Mother Goose Suite,1,,2,,3
San Antonio,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,6
San Antonio,Ravel,Mother Goose Suite,1,,2,,6
San Diego,Ravel,Daphnis et Chloé (Suite No. 2),1,,2,,1
San Diego,Ravel,Piano Concerto in G Major,1,,2,,1
San Francisco,Ravel,La Valse,1,,2,,1
San Francisco,Ravel,Mother Goose Suite,1,,2,,1
San Francisco,Ravel,Three Poems of Stéphane Mallarmé,1,,2,,1
South Dakota,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,5
Spokane,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,3
St. Louis,Ravel,Boléro,1,,2,,1
St. Louis,Ravel,Piano Concerto for the Left Hand,1,,2,,1
St. Louis,Ravel,Piano Concerto in G Major,1,,2,,1
Tacoma,Ravel,La Valse,1,,2,,5
Toledo,Ravel,La Valse,1,,2,,3
Tucson,Ravel,Minuet Antique,1,,2,,3
Utah,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,1
Utah,Ravel,Rapsodie espagnole,1,,2,,1
Virginia,Ravel,Daphnis et Chloé (Suite 1 & 2),1,,2,,3
Virginia,Ravel,Tzigane for Violin and Orchestra,1,,2,,3
Wichita,Ravel,Piano Concerto in G Major,1,,2,,4
York,Ravel,Boléro,1,,2,,5
York,Ravel,Piano Concerto in G Major,1,,2,,5
New Jersey,Rebel,"""Chaos"" from Les élémens",1,,2,,2
Portland,Rebel,"""Chaos"" from Les élémens",1,,2,,3
River Oaks,Rebel,Les Élémens,1,,2,,5
San Francisco,Rebel,"""Chaos"" from Les élémens",1,,2,,1
California,"Reich, Steve",Duet for Two Violins and Strings,1,,1,,5
New York,"Reich, Steve",Music for Ensemble and Orchestra,1,,1,,1
Rochester,"Reich, Steve",Three Movements for Orchestra,1,,1,,2
Allentown,Respighi,Pines of Rome,1,,2,,3
Amarillo,Respighi,Pines of Rome,1,,2,,5
Charleston,Respighi,Trittico botticelliano,1,,2,,3
Elgin,Respighi,"Ancient Airs & Dances, Suite No. 1",1,,2,,6
Erie,Respighi,Pines of Rome,1,,2,,5
Florida,Respighi,Fountains of Rome,1,,2,,2
Greensboro,Respighi,The Birds,1,,2,,5
Houston,Respighi,Fountains of Rome,1,,2,,1
Houston,Respighi,Pines of Rome,1,,2,,1
Las Colinas,Respighi,Pines of Rome,1,,2,,5
Milwaukee,Respighi,Trittico botticelliano,1,,2,,1
New York,Respighi,Trittico botticelliano,1,,2,,1
Oklahoma City,Respighi,Fountains of Rome,1,,2,,3
